text,label,importance,correlations
"Samsung Elec Chairman apologises to customers, public amid labour tensions. Samsung Electronics Chairman Jay Y. Lee apologised to ​customers and the public on Saturday over the ‌company's wage dispute with its South Korean labour union ahead of a possible strike that could shake the economy.",neutral,générale,CA:WHEAT;LU:FINANCIAL_SERVICES;AU:WHEAT
"Chinese officials meet Citigroup, Goldman chiefs in Beijing. The chairman of China's securities regulator and Beijing's party secretary held talks with Citigroup CEO Jane ​Fraser in China and discussed enhancing cooperation in wealth management and ‌cross-border financing, state-backed media said on Saturday.",neutral,générale,CA:WHEAT;LU:FINANCIAL_SERVICES;AU:WHEAT
"SpaceX shareholders approve 5-for-1 stock split , Bloomberg News reports. A majority of SpaceX shareholders ​have approved a 5-for-1 ‌stock split recommended by the company's ​board, Bloomberg News ​reported on Friday, citing ⁠people familiar with ​the matter.",neutral,générale,
"Western Midstream Partners: I Prefer This MLP Over Enterprise Products Partners And Energy Transfer. Western Midstream Partners offers an 8.35% yield, 5-8% targeted distribution growth, and a compelling risk-adjusted return at $45 per unit. WES's Q1 results were strong, with a record $683.1M adjusted EBITDA, 15% YoY growth, and a 2.2% distribution increase. The $1.6B Brazos Delaware acquisition expands WES's Delaware Basin footprint by 50%, is immediately accretive, and maintains pro forma leverage near 3.0x.",positive,importante,CA:WHEAT;LU:FINANCIAL_SERVICES
"Weichai Power Hong Kong International Development Co. Limited Announces Sale of Common Shares of Ballard Power Systems Inc.. Hong Kong, China--(Newsfile Corp. - May 16, 2026) - Weichai Power Hong Kong International Development Co. Limited (""Weichai"") announces that, through a series of transactions between May 13, 2026 and May 15, 2026, Weichai completed the disposition of an aggregate of 8,150,000 common shares (the ""Common Shares"") of Ballard Power Systems Inc. (""Ballard"") for an average price of Cdn$5.65 per Common Share and a total disposition price of Cdn$46,074,159.69 (the ""Disposition""). Immediately prior to the completion of the Disposition, Weichai owned a total of 39,252,826 Common Shares.",neutral,générale,FR:FINANCIAL_SERVICES
"Chiron Real Estate: Downgrading The Preferred Shares After The Change In Strategy. Chiron Real Estate pivots from a net lease medical office REIT to operating senior housing, increasing business volatility and risk. The $425M senior housing acquisition is funded by new Series C convertible preferred equity, $200M in asset sales, a dividend cut, and a new debt facility. XRN.PR.A preferred shares face dilution and greater correlation to operational performance, undermining the prior 'boring' net lease thesis.",neutral,importante,IN:IT_SERVICES
"DeFi Development Pitches ‘Speedboat' Solana Strategy as Treasury Holdings Surge. DeFi Development NASDAQ: DFDV Chief Strategy Officer Dan Kang said the company is positioning itself as an amplified way for investors to gain exposure to Solana, arguing that digital asset treasury companies can outperform the crypto assets they hold when they grow token holdings per share over time.",positive,générale,CA:WHEAT;LU:FINANCIAL_SERVICES;FR:AIRCRAFT
"Tuya: A Deeply Discounted 'Pick And Shovel' Play On Agentic AI. Tuya is rated bullish with a $3.26 target, implying 31% upside, driven by accelerating AIoT adoption and a strong cash position. TUYA's high single-digit revenue growth, expanding EBIT margin (9.2% vs. -2% YoY), and SaaS segment outperformance support the investment thesis. Gross margin pressure from semiconductor supply chain volatility is viewed as transitory, with SaaS growth expected to offset future hardware cyclicality.",positive,importante,CA:WHEAT;LU:FINANCIAL_SERVICES
"Lowe's Companies Among 7 Companies To Announce Dividend Increases In The Second Half Of May. Lowe's Companies is set to announce its 64th consecutive annual dividend increase in late May, despite recent EPS stagnation. LOW's dividend growth slowed to 4% last year, with a predicted 3.3–4.2% increase to $4.96–$5.00 and a forward yield of 2.27–2.29%. Management is pivoting toward professional customers and completed two strategic acquisitions in 2025 to support growth amid flat EPS guidance for 2026.",positive,importante,
"SUPER MICRO COMPUTER SHAREHOLDER ALERT: CLAIMSFILER REMINDS INVESTORS WITH LOSSES IN EXCESS OF $100,000 OF LEAD PLAINTIFF DEADLINE IN CLASS ACTION LAWSUITS AGAINST SUPER MICRO COMPUTER, INC. - SMCI. NEW ORLEANS, MAY 15, 2026 /PRNEWSWIRE/ -- CLAIMSFILER, A FREE SHAREHOLDER INFORMATION SERVICE, REMINDS INVESTORS THAT THEY HAVE UNTIL MAY 26, 2026 TO FILE LEAD PLAINTIFF APPLICATIONS IN SECURITIES CLASS ACTION LAWSUITS AGAINST SUPER MICRO COMPUTER, INC. (""SUPER MICRO"" OR THE ""COMPANY"") (NASDAQGS: SMCI), IF THEY PURCHASED OR OTHERWISE ACQUIRED THE COMPANY'S SECURITIES BETWEEN FEBRUARY 2, 2024 AND MARCH 19, 2026, (THE ""CLASS PERIOD"").  THESE ACTIONS ARE PENDING IN THE UNITED STATES DISTRICT COURT FOR THE NORTHERN DISTRICT OF CALIFORNIA.",neutral,générale,
"DocGo Targets Profitability as It Pivots to Mobile Health, Medical Transport. DocGo NASDAQ: DCGO Chief Executive Officer Lee Bienstock outlined the company's transition away from COVID-related, migrant and emergency-response programs and toward its “evergreen” medical transportation and mobile health businesses during a presentation at the 21st Annual Needham Technology, Media, and Consumer Conference.",neutral,importante,FR:ELECTRICITY
"IMMUNITYBIO SHAREHOLDER ALERT: CLAIMSFILER REMINDS INVESTORS WITH LOSSES IN EXCESS OF $100,000 OF LEAD PLAINTIFF DEADLINE IN CLASS ACTION LAWSUIT AGAINST IMMUNITYBIO, INC. - IBRX. NEW ORLEANS, MAY 15, 2026 /PRNEWSWIRE/ -- CLAIMSFILER, A FREE SHAREHOLDER INFORMATION SERVICE, REMINDS INVESTORS THAT THEY HAVE UNTIL MAY 26, 2026 TO FILE LEAD PLAINTIFF APPLICATIONS IN A SECURITIES CLASS ACTION LAWSUIT AGAINST IMMUNITYBIO, INC. (NASDAQGS: IBRX) (""IMMUNITYBIO"" OR THE ""COMPANY""), IF THEY PURCHASED OR OTHERWISE ACQUIRED THE COMPANY'S SECURITIES BETWEEN JANUARY 19, 2026 AND MARCH 24, 2026, INCLUSIVE (THE ""CLASS PERIOD"").  THIS ACTION IS PENDING IN THE UNITED STATES DISTRICT COURT FOR THE CENTRAL DISTRICT OF CALIFORNIA.",neutral,générale,
"SES AI SHAREHOLDER ALERT: CLAIMSFILER REMINDS INVESTORS WITH LOSSES IN EXCESS OF $100,000 OF LEAD PLAINTIFF DEADLINE IN CLASS ACTION LAWSUIT AGAINST SES AI CORPORATION - SES. NEW ORLEANS, MAY 15, 2026 /PRNEWSWIRE/ -- CLAIMSFILER, A FREE SHAREHOLDER INFORMATION SERVICE, REMINDS INVESTORS THAT THEY HAVE UNTIL JUNE 26, 2026 TO FILE LEAD PLAINTIFF APPLICATIONS IN A SECURITIES CLASS ACTION LAWSUIT AGAINST SES AI CORPORATION (NYSE: SES) (""SES"" OR THE ""COMPANY""), IF THEY PURCHASED OR OTHERWISE ACQUIRED THE COMPANY'S SECURITIES BETWEEN JANUARY 29, 2025 AND MARCH 4, 2026, INCLUSIVE (THE ""CLASS PERIOD"").  THIS ACTION IS PENDING IN THE UNITED STATES DISTRICT COURT FOR THE DISTRICT OF MASSACHUSETTS.",neutral,générale,
"LKQ SHAREHOLDER ALERT: CLAIMSFILER REMINDS INVESTORS WITH LOSSES IN EXCESS OF $100,000 OF LEAD PLAINTIFF DEADLINE IN CLASS ACTION LAWSUIT AGAINST LKQ CORPORATION - LKQ. NEW ORLEANS, MAY 15, 2026 /PRNEWSWIRE/ -- CLAIMSFILER, A FREE SHAREHOLDER INFORMATION SERVICE, REMINDS INVESTORS THAT THEY HAVE UNTIL JUNE 22, 2026 TO FILE LEAD PLAINTIFF APPLICATIONS IN A SECURITIES CLASS ACTION LAWSUIT AGAINST LKQ CORPORATION (""LKQ"" OR THE ""COMPANY"") (NASDAQGS: LKQ), IF THEY PURCHASED OR OTHERWISE ACQUIRED THE COMPANY'S SHARES BETWEEN FEBRUARY 27, 2023, AND JULY 23, 2025, INCLUSIVE (THE ""CLASS PERIOD""). THIS ACTION IS PENDING IN THE UNITED STATES DISTRICT COURT FOR THE MIDDLE DISTRICT OF TENNESSEE.",neutral,générale,
"Euro Short-term Outlook: EUR/USD Five-day Selloff Breaks May Lows—1.16 Now in Focus. EUR/USD remains under heavy pressure after breaking below the May opening range, with the pair extending a five-day selloff towards major technical support near the 1.16-handle. The decline reflects accelerating downside momentum following last month's rejection at key resistance, bringing the focus to a critical zone that could determine whether the move stabilizes or extends into a broader breakdown.",negative,importante,
"CHX Shareholder Alert: Wolf Popper LLP Files Securities Class Action Lawsuit Against ChampionX Corporation. NEW YORK, May 15, 2026 (GLOBE NEWSWIRE) -- Prominent investor rights law firm Wolf Popper LLP announces that it has filed a securities class action lawsuit on behalf of sellers  of ChampionX Corporation (NASDAQ: CHX) common stock between February 29, 2024 and April 1, 2024, inclusive (the “Class Period”). Captioned City of Daytona Beach Police Officers' & Firefighters' Retirement System v.",positive,générale,
"Duolingo: Is Management Right To Focus On DAU Instead Of Monetization?. Duolingo faces bearish sentiment after growth slowdown, management's AI focus, and concerns over user metrics transparency. Q1 FY26 showed DAU growth dropping to 21% and MAU to 6%, with management shifting focus from monetization to user acquisition. AI integration has accelerated content creation and engagement, raising DAU/MAU to 41%, but monetization remains uncertain, especially outside the US.",negative,générale,FR:ELECTRICITY;FR:FINANCIAL_SERVICES
Boston Pizza Royalties Income Fund Q1 Earnings Call Highlights. Boston Pizza Royalties Income Fund TSE: BPF.UN reported higher first-quarter franchise sales and distributable cash as Boston Pizza International said promotional activity and guest traffic supported results across its restaurant network.,neutral,générale,CA:WHEAT;LU:FINANCIAL_SERVICES;FR:AIRCRAFT
"Candel Therapeutics, Inc. (CADL) Discusses Extended Follow-Up Data From Phase 3 Trial of aglatimagene besadenovec in Localized Prostate Cancer Transcript. Candel Therapeutics, Inc. (CADL) Discusses Extended Follow-Up Data From Phase 3 Trial of aglatimagene besadenovec in Localized Prostate Cancer Transcript",neutral,générale,
"Shiba Inu (SHIB) Almost Returns to 82 Trillion Threshold: What It Could Mean for SHIB Price?. Once again, Shiba Inu is getting close to the 82 trillion SHIB exchange reserve threshold, one of the most closely watched on-chain levels in its ecosystem. Following months of erratic outflows and accumulation activity, centralized exchanges currently hold approximately 81.9-82.3 trillion SHIB tokens, according to recent exchange reserve and netflow data.",positive,générale,
Silver (XAG) Forecast: Silver Market Crushed by Yields Spike and Dollar Surge. Silver prices crashed over 8% as Treasury yields surged and a stronger U.S. dollar crushed demand for non-yielding metals.,positive,importante,
"Lombard Finance Drops LayerZero in Favor of Chainlink to Secure $1B in Bitcoin Assets. Lombard Finance, one of the largest Bitcoin-native liquid staking platforms in the DeFi ecosystem, reported that it will move more than $1 billion in Bitcoin-backed assets from LayerZero's infrastructure to Chainlink's Cross-Chain Interoperability Protocol (CCIP). Those responsible for the protocol confirmed that they will completely eliminate LayerZero from their interoperability architecture.",negative,générale,
"Rio2 Reports First Quarter 2026 Financial Results and Operations Update. VANCOUVER, British Columbia, May 15, 2026 (GLOBE NEWSWIRE) -- Rio2 Limited (“Rio2” or “the Company”) (TSX: RIO; OTCQX: RIOFF; BVL: RIO) reports financial results for the three months ended March 31, 2026, highlighted by initial production and the early stages of ramp-up at the Fenix Gold Mine (“Fenix Gold”) and initial contribution from the Condestable Copper Mine (“Condestable”) since closing of the acquisition on January 30, 2026. Rio2's consolidated production for the quarter totaled 7,849 ounces of gold, 49,198 ounces of silver, and 6,403,188 pounds of copper. All financial information in this press release is reported in U.S. dollar unless otherwise indicated.",neutral,générale,
"Gold (XAU/USD) Price Forecast: Bearish Breakdown Targets Major Support. Gold triggered a bearish breakdown below key short-term support, increasing the likelihood of a deeper correction toward a major long-term confluence support zone.",negative,importante,
"USD/JPY Weekly Outlook: Rising US yields and a crumbling yen leave BOJ exposed. After suspected intervention activity from Japanese authorities created havoc with traditional market relationships the prior week, USD/JPY reverted to trading primarily off moves in the front-end of the US Treasury curve over the past five trading days. As shown in the rolling correlation matrix below, short-dated US yields once again emerged as the standout driver of the pair, providing a far better read on what matters and what does not heading into the new week.",positive,générale,
"US Dollar Index Is Rising: Will Bitcoin Price Follow or Backtrack?. The US Dollar Index (DXY) is breaking out toward 101 after forming a double bottom on the daily chart. Historically, that move would have weighed on Bitcoin (BTC) price.",neutral,importante,
Salesforce CEO Marc Benioff said his company will likely spend $300M on Anthropic tokens. Salesforce CEO Marc Benioff had high praise for AI coding agents and Anthropic. The CEO said agents have allowed him to be more efficient and faster with product iteration.,neutral,générale,
"Coinbase Wrapped BTC Expands to Tempo With Chainlink-Powered Security Integration. The Coinbase Wrapped BTC (cbBTC) token has integrated into Tempo Network, a payments-focused Layer 1 (L1) blockchain strategically backed by Stripe and Paradigm. The deployment was carried out exclusively through Chainlink's Cross-Chain Interoperability Protocol (CCIP), as confirmed by the development teams.",neutral,générale,
"Ethereum Flashes Rare Divergence Between Spot And Derivatives Market. Who Has The Edge?. Ethereum is consolidating between $2,200 and $2,400 as the market searches for the catalyst or the structural confirmation that forces a decisive break in either direction.",neutral,générale,
"Avino Silver & Gold Mines Q1 Earnings Call Highlights. Avino Silver & Gold Mines TSE: ASM reported record first-quarter 2026 financial results, with management pointing to stronger precious metals prices, continued mill performance and rising contributions from the La Preciosa development project as key drivers of the period.",positive,générale,CA:WHEAT;LU:FINANCIAL_SERVICES
"Charter Communications: Are The Bears Right?. Charter Communications has declined 35%, but I remain confident in its free cash flow and margin resilience despite competitive and debt headwinds. CHTR's near-term debt maturities are manageable, with free cash flow projected to cover all maturities through 2029 even under bear-case scenarios. Refinancing at higher rates adds ~$300M annual interest by 2029, yet CHTR's operating income and capex reductions support ongoing buybacks and deleveraging.",negative,générale,CA:WHEAT;LU:FINANCIAL_SERVICES
"Despite Underperformance, WaFd Can Still Deliver. WaFd receives a reaffirmed soft ‘buy' rating, reflecting solid fundamentals despite recent underperformance versus the S&P 500. WAFD's net interest margin expanded to 2.76%, supporting higher net interest income and profitability amid modest declines in deposits and loans. The bank trades at a forward P/E of 9.8, below most peers, and at a discount to book value, enhancing its relative valuation appeal.",negative,importante,
"Andean Precious Metals Q1 Earnings Call Highlights. Andean Precious Metals TSE: APM reported a record first quarter for 2026, with management citing higher production, stronger realized gold and silver prices, and improved performance across its San Bartolomé and Golden Queen operations.",positive,générale,FR:BEVERAGES;DE:AIRCRAFT
"Jito Targets Consumer Crypto Traders as Founder Lucas Bruder Eyes Onchain Growth. Jito is going after regular traders now. Not institutions, not whales — everyday crypto users who want to buy and sell a wide range of onchain assets without jumping through hoops.",positive,générale,
"Strategy to Repurchase $1.5B in Notes, Says Bitcoin Sales Could Fund Deal. Strategy plans to repurchase about $1.5 billion of convertible notes, with the final price tied partly to its stock performance. The filing also lists bitcoin sales as a possible funding source, renewing focus on its treasury strategy. Strategy Details $1.5 Billion Convertible Note Repurchase Plan On May 15, Strategy Inc.",neutral,générale,
"Unusual Machines: One Of The Best Ways To Play America's Drone Boom. Unusual Machines remains a buy as it rapidly scales to meet surging drone market demand, despite a rich valuation and recent volatility. UMAC's Q1 revenue grew 296% YoY to $8.1M, with gross margins at 32.8% and a strong $223M cash position supporting aggressive expansion. UMAC supplies key components to over half of Drone Dominance program winners, positioning it as a beneficiary regardless of which OEMs win contracts.",positive,générale,
"CSX Eyes Higher Margins as Freight Demand Improves, CFO Says at Conference. CSX NASDAQ: CSX Executive Vice President and Chief Financial Officer Kevin Boone said the railroad remains focused on improving margins, capturing pricing tied to better service and using capital more efficiently, while cautioning that “one quarter doesn't make a year.”",neutral,générale,
"ICE and CME Push U.S. Regulators to Rein In HYPE Token Energy Markets. Intercontinental Exchange and the Chicago Mercantile Exchange want regulators to act. Both giants are pressing U.S. oversight bodies to take a hard look at Hyperliquid, a decentralized exchange that lets users spin up entirely new energy trading markets — provided they can stake 500,000 HYPE tokens, which runs about $22.2 million at current valuations.",neutral,générale,
"Anduril, Pentagon STRIKE DEAL for low-cost missile production. Anduril Industries President and Chief Strategy Officer Christian Brose discusses the company's new agreement with the Pentagon to produce low-cost missiles, their capabilities and more on 'Varney & Co.' 00:00 Pentagon Agreement for Low-Cost Missiles 00:32 Capabilities of Anduril's AI Cruise Missile 01:06 Cost Comparison: Anduril vs. Tomahawk Missiles 01:31 Scaling Production: 1,000 Rounds Per Year 02:12 Disrupting the Traditional Defense Industry Model 03:08 The Future of Autonomous Weaponry",neutral,générale,
"Aya Gold & Silver Q1 Earnings Call Highlights. Aya Gold & Silver TSE: AYA reported what management described as a record first quarter of 2026, with higher revenue, cash flow and earnings despite weather-related disruptions at its Moroccan operations.",neutral,générale,CA:WHEAT;LU:FINANCIAL_SERVICES
Bird Construction Q1 Earnings Call Highlights. Bird Construction TSE: BDT reported higher first-quarter revenue and adjusted earnings as management said a record backlog and new strategic partnerships are improving visibility into growth through 2027.,positive,générale,CA:WHEAT;LU:FINANCIAL_SERVICES
"Docebo Sees Enterprise Demand Rebound as AI and Skills Tools Fuel Growth. Docebo NASDAQ: DCBO is seeing improved enterprise demand after addressing product and go-to-market gaps that weighed on its business in 2025, Brandon Farber of Docebo said during a Needham fireside chat hosted by analyst Ryan MacDonald.",positive,générale,
Altius Minerals Q1 Earnings Call Highlights. Altius Minerals TSE: ALS reported higher first-quarter royalty revenue and adjusted earnings as the company integrated its Lithium Royalty Corp. acquisition and highlighted accelerating growth in its electricity and lithium royalty businesses.,positive,générale,DE:AIRCRAFT;FR:BEVERAGES
BioStem Technologies Q1 Earnings Call Highlights. BioStem Technologies OTCMKTS: BSEM said its first quarter of 2026 marked a major shift in its business model following a late-January acquisition that moved the company's focus from physician offices toward the hospital market.,neutral,importante,
"Bitcoin Short-Term Holder Basis Remains High Within Biggest Supply Cluster. A large pocket of Bitcoin supply is sitting just above the current market, and technical analysis shows that this area may decide the next major Bitcoin move.",neutral,générale,
"AutoCanada Q1 Earnings Call Highlights. AutoCanada TSE: ACQ reported first-quarter 2026 adjusted EBITDA from continuing operations of CAD 31 million, down from CAD 43 million a year earlier, as the company continued to work through a soft Canadian automotive market and margin pressure in used vehicles.",neutral,générale,US:PETROLEUM_CRUDE;HK:SILVER
"Ethereum Sell Signal That Last Preceded A 63% Drop Flashes Again. Ethereum has seen a Tom Demark (TD) Sequential sell signal on its weekly chart, something that last led to a major drawdown for the asset. Ethereum Has Seen A TD Sequential Sell Signal In a new post on X, analyst Ali Martinez has highlighted a TD Sequential signal that has emerged on the 1-week price of Ethereum.",neutral,générale,
"SPXX: Tax-Efficient Dividends And Maintain S&P 500 Exposure. Nuveen S&P 500 Dynamic Overwrite Fund is upgraded to a strong buy due to its 12.12% discount to NAV and defensive option strategy. SPXX offers a 7.5% monthly dividend yield, primarily classified as return of capital, providing tax-efficient income ideal for retirees. The fund's dynamic option writing covers 62% of assets, balancing income generation with potential for moderate capital appreciation.",positive,générale,
"HYPE Falls 6% As CME, ICE Target Hyperliquid Over Oil Risks. Hyperliquid's HYPE token retreated roughly 6% on Friday after Bloomberg reported that CME Group and Intercontinental Exchange are pressing US officials to scrutinize the decentralized exchange's role in offshore oil-linked trading. The move puts one of crypto's fastest-growing derivatives venues in direct tension with two of the most powerful incumbents in global commodities markets.",negative,générale,
"Turtle Beach: Rebound Potential Should Materialize In 2026. Turtle Beach Corporation has reported very weak results in recent quarters. A market decline, tariffs, and a Q1 channel reset have weighed on earnings. TBCH is positioned for a rebound. Market growth has returned, the company is launching new products aggressively, and reciprocal tariffs have ended. The market sentiment is clouded by recent weakness. I estimate TBCH stock to have 81% upside to $20.6.",negative,générale,
